Periodo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Tabasco ",2.985016841,2.997873009,3.154693632,3.196449284,3.185522138,3.299388024,3.633677341,3.658007669,3.695608011,3.655006703,3.53922943,3.515209383,3.391026491,3.148440518,2.9393766,2.647648972
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Tamaulipas ",3.117853017,3.142460928,3.270153402,3.227312148,3.255175397,3.355959382,3.221876466,3.12292784,3.070548403,3.022302819,3.025333389,2.974336317,2.971075853,2.946895718,2.875792894,2.868359761
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Tlaxcala ",0.662899028,0.688007678,0.593953633,0.559096895,0.554349654,0.577992062,0.598888146,0.618780705,0.57833366,0.582714306,0.560377001,0.56240512,0.581797539,0.570348182,0.551565369,0.559373492
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Veracruz de Ignacio de la Llave ",4.88562038,4.933529409,4.861551687,4.913778706,4.950088391,4.890133526,5.048020101,5.003682428,5.020354546,5.053015436,4.995053795,4.859511349,4.739286642,4.621980171,4.478253858,4.487285399
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Yucat�n ",1.287006479,1.295056302,1.325377339,1.331257579,1.341453963,1.341122593,1.387440423,1.366670187,1.363919227,1.391359621,1.379489108,1.393269245,1.389521563,1.42796754,1.456398734,1.471052324
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Zacatecas ",0.807432606,0.809648438,0.791606553,0.80471811,0.813325126,0.877495749,0.956233658,1.008406631,0.973910103,0.963830679,0.938837544,0.975956414,0.964481395,0.930355295,0.909537594,0.885313335
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Total nacional ",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Aguascalientes ",1.181296209,1.137501469,1.271688346,1.232040222,1.241304226,1.349745928,1.305463238,1.335356628,1.470984948,1.451665516,1.423131126,1.468088536,1.480123093,1.475922963,1.498221275,1.516177507
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Baja California ",2.48449432,2.760733309,2.944245767,2.67722405,2.435776455,2.391550869,2.775897582,2.730024277,2.807161335,2.646533021,2.775813439,2.657635963,2.746714165,2.471355489,2.60340287,2.610270374
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Baja California Sur ",0.774150497,0.70390932,0.839267339,0.73135286,0.688983662,0.671214838,0.647443753,0.779702798,0.779312005,0.779936879,0.738355047,0.879576819,0.912874246,0.947722659,0.892502503,0.885229327
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Campeche ",0.675734232,0.767624165,0.75008874,0.826635105,0.603046477,0.682760582,0.744221677,0.868602222,0.809824189,0.803740142,0.789064993,0.86105523,0.906657578,0.950869642,0.918409366,0.967310413
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Coahuila de Zaragoza ",2.532430195,2.643032974,3.07166347,2.66838365,2.649460652,2.552566371,2.83213334,2.794341148,2.800737774,2.659194688,2.595555712,2.716436009,2.528683867,2.27067387,2.252766462,2.316201553
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Colima ",1.002950304,1.009884267,1.014846561,0.999427776,0.999913038,1.04039929,0.874150493,0.924325137,1.021113352,0.857057001,0.861217055,0.844635469,0.808563277,0.820346366,0.831940367,0.845704607
